name,SPE,Easy,Cascade,RUSBoost,DES-P,KNORA-U,DES-KNN,KNOP,META-DES,KNORA-E,DES-KL,DES-RRC
abalone_19,0.052119495594482,0.047017614454157836,0.027445235352483686,0.010312530698057733,0.07057064082490944,0.08062566130896007,0.04491393112424357,0.07860924713999119,0.07439638868389024,0.048311487060841075,0.05415370182664472,0.050026517474633686
arrhythmia,0.343828114420049,0.34810018527540165,0.4085021797190544,0.3109224226981739,0.30800761648114405,0.30769848341340783,0.2970316931207503,0.31051595081114935,0.2921716236020775,0.30488516357598827,0.3172564171007487,0.32009950582789487
cleveland-0_vs_4,0.8047089947089946,0.870079365079365,0.8287830687830688,0.7259600614439324,0.7682331587170297,0.7633409146681139,0.7101807760141093,0.7645751500590211,0.7539513197946481,0.7199423979596393,0.7652108824619948,0.7649651067323481
ecoli-0-1-4-6_vs_5,0.9341558441558442,0.9453749300808124,0.9425867922926746,0.910667458902753,0.9071074481074481,0.9117190056320491,0.8997366522366522,0.8967235731171902,0.9004146376499318,0.8911422495633021,0.8976254301254302,0.8935045038818624
ecoli-0-1-4-7_vs_5-6,0.9354908054908055,0.934894495032426,0.9353070716844302,0.9094876543209875,0.9206341660539787,0.9285420889573894,0.8749178284402165,0.9180231146221929,0.9232656155347448,0.8089958338481512,0.9250167089457171,0.9144286352293773
ecoli-0-1_vs_5,0.8493728956228956,0.8856902356902356,0.8752042986253513,0.8481477191949089,0.7740534995717923,0.843695219836404,0.7775767979359933,0.8100546058879392,0.7758401817243281,0.7943795075083108,0.8427722183666023,0.785551944982603
ecoli-0-2-3-4_vs_5,0.9264162176759506,0.9382995367205893,0.9362872584931409,0.9097976370035193,0.8985794711824123,0.9051838773126806,0.8975217825659373,0.9019576564415275,0.8966560632740807,0.8812291908633372,0.9099196670538134,0.9020750184774575
ecoli-0-2-6-7_vs_3-5,0.8762423687423688,0.8744716394716395,0.878609446109446,0.8694536019536019,0.8442382617382618,0.8699079481649861,0.8583094220594221,0.8795965269298602,0.8594778783308195,0.803010325994197,0.8526491131329841,0.8445746845746845
ecoli-0-3-4-6_vs_5,0.9105406630406631,0.9334110334110334,0.9214639804639805,0.8826744658849922,0.9005977511529502,0.9007735366945894,0.8924513789255539,0.9029957589168115,0.9011243386243386,0.8748531404431692,0.90131605723711,0.895980980468068
ecoli-0-3-4-7_vs_5-6,0.862819555652889,0.870482179304553,0.8738907733791219,0.8308524343784174,0.8537474425735295,0.8580622433775663,0.8408410478410479,0.8486317087843678,0.8632935553301686,0.8513302808302808,0.8263748930966652,0.8093449312175298
