name,SPE,Easy,Cascade,RUSBoost,DES-P,KNORA-U,DES-KNN,KNOP,META-DES,KNORA-E,DES-KL,DES-RRC
abalone_19,0.04722438364898744,0.05136953499941172,0.027033647345696264,0.042992572283155374,0.10745187667090278,0.101111040001242,0.06612377552006486,0.11680476908556632,0.12047725467471349,0.04313120407980606,0.04873163530498522,0.04871343380718167
arrhythmia,0.8443602255499788,0.8249126552459886,0.823501503764162,0.7591719946296606,0.8340793650793651,0.8417425381635907,0.8104673498803934,0.8482601929660752,0.826950330371383,0.8367797127077486,0.8461452621452621,0.8467513227513227
cleveland-0_vs_4,0.8087037037037036,0.7764347961406786,0.8152645502645501,0.8387830687830687,0.7979059829059829,0.8057407407407406,0.7381481481481481,0.7875925925925925,0.7872364672364671,0.7377838827838828,0.785022385022385,0.785022385022385
ecoli-0-1-4-6_vs_5,0.9562698412698413,0.9275,0.9357738095238095,0.937063492063492,0.9672089947089948,0.9681349206349206,0.928968253968254,0.9666955266955266,0.9442328042328042,0.9298809523809524,0.9632407407407407,0.9632407407407407
ecoli-0-1-4-7_vs_5-6,0.9377023809523809,0.8851995071205597,0.9297142857142856,0.9318070287200722,0.8884320987654319,0.9395832315832315,0.8278383838383838,0.9043015873015873,0.8880858770858772,0.7553871770930594,0.9409918229918229,0.9409918229918229
ecoli-0-1_vs_5,0.9342460317460317,0.8643849206349207,0.9091534391534392,0.9351587301587301,0.9457142857142856,0.9448809523809524,0.8741666666666666,0.9310714285714285,0.9013492063492063,0.9016161616161615,0.9368253968253968,0.9368253968253968
ecoli-0-2-3-4_vs_5,0.944431216931217,0.8978927553927554,0.9186772486772486,0.9529629629629629,0.9512193362193363,0.9503860028860028,0.9133215429556892,0.9311904761904762,0.9409126984126984,0.9205149051490514,0.9559415584415585,0.9559415584415585
ecoli-0-2-6-7_vs_3-5,0.8627904013198131,0.8497350991091737,0.8890474358802531,0.8743400179419669,0.8596488726327436,0.8839349922108543,0.850564713064713,0.8607824365177307,0.8484911425720248,0.7896424680983504,0.8692890529949353,0.8692890529949353
ecoli-0-3-4-6_vs_5,0.9189153439153439,0.8946755368814192,0.915518278018278,0.9440740740740741,0.9375793650793651,0.9317460317460318,0.9375793650793651,0.9049430199430198,0.9108201058201058,0.9325,0.9248809523809524,0.9248809523809524
ecoli-0-3-4-7_vs_5-6,0.8353344122393358,0.7948781354873309,0.8489172830093883,0.832870085997021,0.8559351973562499,0.8637198775459645,0.8642777407777408,0.8397848847059373,0.8811390509651379,0.8006962783232133,0.850959484959485,0.850959484959485
