name,SPE,Easy,Cascade,RUSBoost,DES-P,KNORA-U,DES-KNN,KNOP,META-DES,KNORA-E,DES-KL,DES-RRC
abalone_19,0.06027038679642812,0.06730540137119738,0.04499474998178006,0.044522919363571875,0.09022807184317642,0.0974707615156228,0.045357285939770106,0.09728640915348351,0.09963986925265574,0.036111046701877404,0.05719227528117542,0.05513405021817362
arrhythmia,0.8659286162385741,0.8186488656654287,0.8490005114868998,0.7983357985729362,0.8473927368927369,0.8584423938634465,0.8494122544122543,0.856077819783702,0.8626418084839138,0.8554108484108484,0.8506858092177786,0.850711615403005
cleveland-0_vs_4,0.8172446072446072,0.7931061209322079,0.8116666666666666,0.8049999999999999,0.8201346801346802,0.8174851074851074,0.7248569023569024,0.7938624338624339,0.8026984126984128,0.7415343915343915,0.8266955266955267,0.7993434343434344
ecoli-0-1-4-6_vs_5,0.9701587301587301,0.922077922077922,0.972962962962963,0.9548015873015873,0.967936507936508,0.9695238095238096,0.9399074074074074,0.9571031746031746,0.9646031746031746,0.9386507936507936,0.967936507936508,0.9750793650793651
ecoli-0-1-4-7_vs_5-6,0.9265380175380176,0.8811022028080852,0.9395925925925925,0.9355292235757352,0.897000933706816,0.9260009337068159,0.8368120041926013,0.9019290382819795,0.857001221001221,0.8282813804953109,0.9319417989417988,0.9291738718797542
ecoli-0-1_vs_5,0.9412698412698413,0.8714568302068302,0.9335978835978835,0.9008994708994709,0.9399603174603174,0.9457142857142856,0.8931349206349206,0.9412698412698413,0.9204365079365079,0.9231216931216931,0.9374603174603174,0.9407936507936507
ecoli-0-2-3-4_vs_5,0.9483994708994709,0.9393650793650793,0.9426587301587301,0.9414814814814815,0.9394708994708995,0.9411904761904761,0.9268631436314363,0.9301851851851851,0.9334126984126985,0.9405050505050505,0.9485978835978837,0.9391534391534392
ecoli-0-2-6-7_vs_3-5,0.8681990231990232,0.8396666895196306,0.8577660270204129,0.8449988831258181,0.8511855396065922,0.8763202197412724,0.8479677113010446,0.8531830206830207,0.8402850784120133,0.8155683940242764,0.8720441595441596,0.8832675588944938
ecoli-0-3-4-6_vs_5,0.9131216931216931,0.9016317941317941,0.919484126984127,0.9351082251082251,0.9160942760942761,0.9141507024265645,0.9012052488945942,0.9066127887469351,0.9237556458897923,0.9227469135802469,0.9058494208494209,0.908098098098098
ecoli-0-3-4-7_vs_5-6,0.8292380669439492,0.7887893244389408,0.8447702841820488,0.8174772845165001,0.8380620675620675,0.8476043043801664,0.8345383468461782,0.8333593443593443,0.8756026319359653,0.8294118844118844,0.8352357129326277,0.8515749158249158
ecoli-0-3-4_vs_5,0.9630555555555556,0.9600000000000001,0.9586904761904762,0.9428571428571428,0.9836111111111111,0.9836111111111111,0.9569444444444444,0.9802777777777777,0.9802777777777777,0.9725,0.9747222222222223,0.9738888888888888
