dname,iteration,base_model,size,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
glass2,1,DT,10,SPE,0.0311615467071533,0.9083333333333334,0.3611111111111111,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,1,DT,10,Easy100,0.0278360843658447,0.9375,0.3777777777777777,0.4615384615384615,0.9082951062292476,0.49749371855331
glass2,1,DT,10,Cascade100,0.029365062713623,0.7333333333333333,0.1861111111111111,0.25,0.5477225575051661,0.1854345299891061
glass2,1,DT,10,RusBoost100,0.0272886753082275,0.8916666666666667,0.3055555555555555,0.4,0.8803408430829505,0.4401704215414752
glass2,1,DT,10,DES-P,0.0041925907135009,0.925,0.4333333333333333,0.4615384615384615,0.9082951062292476,0.49749371855331
glass2,1,DT,10,META-DES,0.0407519340515136,0.7541666666666667,0.3565891472868217,0.4,0.7637626158259733,0.3737855113104419
glass2,1,DT,10,knorae,0.0043928623199462,0.7875,0.4121447028423772,0.5714285714285714,0.7958224257542214,0.5408524452393346
glass2,1,DT,10,knorau,0.0047914981842041,0.925,0.4888888888888888,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,1,DT,10,knop,0.0071613788604736,0.9208333333333332,0.4333333333333333,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,1,DT,10,DESKNN,0.0046091079711914,0.7375,0.1851605758582502,0.4,0.7637626158259733,0.3737855113104419
glass2,1,DT,10,deskl,0.0122783184051513,0.9208333333333332,0.4,0.4615384615384615,0.9082951062292476,0.49749371855331
glass2,1,DT,10,rrc,0.1567819118499755,0.9208333333333332,0.4,0.4615384615384615,0.9082951062292476,0.49749371855331
glass2,2,DT,10,SPE,0.0322484970092773,0.7166666666666667,0.148018648018648,0.0,0.0,-0.1309307341415954
glass2,2,DT,10,Easy100,0.0293822288513183,0.8083333333333333,0.238095238095238,0.4,0.7637626158259733,0.3737855113104419
glass2,2,DT,10,Cascade100,0.0544006824493408,0.6208333333333333,0.1439393939393939,0.2857142857142857,0.5552777082985894,0.2265733216543158
glass2,2,DT,10,RusBoost100,0.0629253387451171,0.7291666666666666,0.1892551892551892,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,2,DT,10,DES-P,0.0087182521820068,0.8875000000000001,0.2944444444444444,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,2,DT,10,META-DES,0.2017426490783691,0.6499999999999999,0.1315891472868217,0.0,0.0,-0.1102821933140711
glass2,2,DT,10,knorae,0.0155997276306152,0.5083333333333333,0.07984496124031,0.0,0.0,-0.0877058019307029
