dname,iteration,base_model,size,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
glass2,1,DT,40,SPE,0.1839005947113037,0.9291666666666666,0.75,0.3076923076923077,0.7302967433402215,0.2814105882725793
glass2,1,DT,40,Easy100,0.1610534191131591,0.925,0.7435897435897436,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,1,DT,40,Cascade100,0.161525011062622,0.9791666666666669,0.6666666666666666,0.3157894736842105,0.8215838362577492,0.3557562367689427
glass2,1,DT,40,RusBoost100,0.1538589000701904,0.95,0.7777777777777777,0.5714285714285714,0.7958224257542214,0.5408524452393346
glass2,1,DT,40,DES-P,0.0183396339416503,0.9333333333333332,0.7575757575757576,0.3076923076923077,0.7302967433402215,0.2814105882725793
glass2,1,DT,40,META-DES,0.2495498657226562,0.8583333333333333,0.7166666666666666,0.5714285714285714,0.7958224257542214,0.5408524452393346
glass2,1,DT,40,knorae,0.0180654525756835,0.7749999999999999,0.5788113695090439,0.5,0.7852812659593164,0.4702089867580906
glass2,1,DT,40,knorau,0.0393307209014892,0.9333333333333332,0.7575757575757576,0.3076923076923077,0.7302967433402215,0.2814105882725793
glass2,1,DT,40,knop,0.0600852966308593,0.9416666666666668,0.7666666666666666,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,1,DT,40,DESKNN,0.0164830684661865,0.8666666666666666,0.3588235294117647,0.5,0.7852812659593164,0.4702089867580906
glass2,1,DT,40,deskl,0.0556964874267578,0.9333333333333332,0.7575757575757576,0.3076923076923077,0.7302967433402215,0.2814105882725793
glass2,1,DT,40,rrc,0.839451789855957,0.9333333333333332,0.7575757575757576,0.3076923076923077,0.7302967433402215,0.2814105882725793
glass2,2,DT,40,SPE,0.1536669731140136,0.8166666666666667,0.1921296296296296,0.0,0.0,-0.075
glass2,2,DT,40,Easy100,0.2194569110870361,0.6708333333333333,0.1267806267806268,0.0,0.0,-0.1207614728849119
glass2,2,DT,40,Cascade100,0.1624534130096435,0.6958333333333333,0.4074074074074074,0.2,0.532290647422377,0.1265120192127649
glass2,2,DT,40,RusBoost100,0.1538732051849365,0.4583333333333333,0.3805623805623805,0.3333333333333333,0.5627314338711377,0.2833333333333333
glass2,2,DT,40,DES-P,0.0181376934051513,0.8916666666666666,0.3222222222222222,0.2857142857142857,0.5552777082985894,0.2265733216543158
glass2,2,DT,40,META-DES,0.1645553112030029,0.7416666666666667,0.1642857142857142,0.0,0.0,-0.075
glass2,2,DT,40,knorae,0.0126557350158691,0.7083333333333333,0.2454780361757106,0.0,0.0,-0.075
glass2,2,DT,40,knorau,0.0383918285369873,0.8583333333333333,0.2528138528138528,0.0,0.0,-0.075
glass2,2,DT,40,knop,0.0590181350708007,0.8083333333333333,0.1976190476190476,0.0,0.0,-0.0877058019307029
glass2,2,DT,40,DESKNN,0.0181248188018798,0.8916666666666666,0.3166666666666666,0.0,0.0,-0.0877058019307029
glass2,2,DT,40,deskl,0.0896456241607666,0.8833333333333333,0.3075757575757576,0.2857142857142857,0.5552777082985894,0.2265733216543158
glass2,2,DT,40,rrc,0.9757161140441896,0.8833333333333333,0.3075757575757576,0.2857142857142857,0.5552777082985894,0.2265733216543158
glass2,3,DT,40,SPE,0.2372810840606689,0.9625,0.6805555555555556,0.5454545454545454,0.9354143466934852,0.5728219618694801
glass2,3,DT,40,Easy100,0.2562544345855713,0.8541666666666666,0.4714285714285714,0.3076923076923077,0.7302967433402215,0.2814105882725793
glass2,3,DT,40,Cascade100,0.2036633491516113,0.9291666666666668,0.5575757575757576,0.4285714285714285,0.8944271909999159,0.4670993664969137
glass2,3,DT,40,RusBoost100,0.1769859790802002,0.7916666666666666,0.5066666666666666,0.5,0.7852812659593164,0.4702089867580906
glass2,3,DT,40,DES-P,0.0338668823242187,0.8666666666666667,0.4477124183006535,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,3,DT,40,META-DES,0.2235414981842041,0.9125,0.5833333333333333,0.5,0.7852812659593164,0.4702089867580906
glass2,3,DT,40,knorae,0.0154910087585449,0.9791666666666669,0.6388888888888888,0.75,0.9746794344808964,0.754983443527075
glass2,3,DT,40,knorau,0.0419929027557373,0.9416666666666668,0.6666666666666666,0.4,0.7637626158259733,0.3737855113104419
glass2,3,DT,40,knop,0.0440037250518798,0.9416666666666668,0.4761904761904761,0.5,0.7852812659593164,0.4702089867580906
