dname,iteration,base_model,size,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
glass2,2,DT,20,rrc,0.3391423225402832,0.8250000000000001,0.2244047619047618,0.0,0.0,-0.0877058019307029
glass2,3,DT,20,SPE,0.1337249279022216,0.8666666666666667,0.4791666666666666,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,3,DT,20,Easy100,0.0875816345214843,0.725,0.2517543859649123,0.1818181818181818,0.5244044240850757,0.1036534978620963
glass2,3,DT,20,Cascade100,0.0569021701812744,0.8499999999999999,0.5972222222222222,0.4,0.7637626158259733,0.3737855113104419
glass2,3,DT,20,RusBoost100,0.0552589893341064,0.7249999999999999,0.4203703703703703,0.2222222222222222,0.5400617248673216,0.1531697129362099
glass2,3,DT,20,DES-P,0.0074639320373535,0.875,0.6143790849673203,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,3,DT,20,META-DES,0.1871635913848877,0.8333333333333333,0.7101449275362319,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,3,DT,20,knorae,0.0072360038757324,0.7583333333333332,0.4121447028423772,0.5,0.7852812659593164,0.4702089867580906
glass2,3,DT,20,knorau,0.0149900913238525,0.9166666666666666,0.7435897435897436,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,3,DT,20,knop,0.0267071723937988,0.9583333333333334,0.7916666666666666,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,3,DT,20,DESKNN,0.0070536136627197,0.8791666666666667,0.3444444444444444,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,3,DT,20,deskl,0.0364823341369628,0.8416666666666667,0.712121212121212,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,3,DT,20,rrc,0.4719460010528564,0.8416666666666667,0.712121212121212,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,4,DT,20,SPE,0.0936253070831298,0.9291666666666668,0.3555555555555555,0.4285714285714285,0.8944271909999159,0.4670993664969137
glass2,4,DT,20,Easy100,0.0831310749053955,0.875,0.2738095238095238,0.4,0.8803408430829505,0.4401704215414752
glass2,4,DT,20,Cascade100,0.082482099533081,0.6208333333333333,0.1701388888888889,0.2222222222222222,0.5400617248673216,0.1531697129362099
glass2,4,DT,20,RusBoost100,0.0783412456512451,0.8333333333333333,0.4365079365079364,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,4,DT,20,DES-P,0.0101494789123535,0.9666666666666666,0.8095238095238095,0.5,0.9219544457292888,0.532290647422377
glass2,4,DT,20,META-DES,0.1816744804382324,0.8916666666666666,0.3686868686868687,0.4,0.7637626158259733,0.3737855113104419
glass2,4,DT,20,knorae,0.0070288181304931,0.9166666666666666,0.3777777777777777,0.5,0.7852812659593164,0.4702089867580906
glass2,4,DT,20,knorau,0.0075087547302246,0.9583333333333331,0.6666666666666667,0.4615384615384615,0.9082951062292476,0.49749371855331
glass2,4,DT,20,knop,0.0156576633453369,0.925,0.5777777777777777,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,4,DT,20,DESKNN,0.0082931518554687,0.9833333333333334,0.7555555555555555,0.75,0.9746794344808964,0.754983443527075
glass2,4,DT,20,deskl,0.0220475196838378,0.9375,0.4111111111111111,0.4615384615384615,0.9082951062292476,0.49749371855331
glass2,4,DT,20,rrc,0.2944867610931396,0.9375,0.4111111111111111,0.4615384615384615,0.9082951062292476,0.49749371855331
glass2,5,DT,20,SPE,0.0752851963043212,0.8541666666666667,0.2547008547008547,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,5,DT,20,Easy100,0.0600132942199707,0.75,0.4180035650623885,0.2222222222222222,0.5400617248673216,0.1531697129362099
glass2,5,DT,20,Cascade100,0.1025037765502929,0.6083333333333333,0.1469924812030075,0.1818181818181818,0.5244044240850757,0.1036534978620963
glass2,5,DT,20,RusBoost100,0.0814425945281982,0.8,0.2338217338217338,0.2222222222222222,0.5400617248673216,0.1531697129362099
glass2,5,DT,20,DES-P,0.0069861412048339,0.8958333333333333,0.3027777777777777,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,5,DT,20,META-DES,0.2047772407531738,0.625,0.2412045319022063,0.2857142857142857,0.5552777082985894,0.2265733216543158
glass2,5,DT,20,knorae,0.0069308280944824,0.575,0.1576227390180878,0.2857142857142857,0.5552777082985894,0.2265733216543158
glass2,5,DT,20,knorau,0.0142111778259277,0.8916666666666666,0.3027777777777777,0.4444444444444444,0.7745966692414833,0.416621619186491
glass2,5,DT,20,knop,0.0182545185089111,0.7833333333333333,0.2954545454545454,0.2,0.532290647422377,0.1265120192127649
