,dname,iteration,base_model,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
21,ps_failure.csv,3,DT,Easy100,2.832791328430176,0.9849220648698036,0.5781619470120841,0.4328722538649308,0.9605645261633416,0.50622696343873
22,ps_failure.csv,3,DT,Cascade100,1.147930145263672,0.9866715395157606,0.7745422605216382,0.5252100840336135,0.9397244686885228,0.5688805665164809
23,ps_failure.csv,3,DT,RusBoost100,1.1771819591522217,0.9792688289934522,0.5813595328391573,0.3806691449814126,0.9381566509007752,0.4566126240065838
24,ps_failure.csv,3,DT,DES-P,2.036470890045166,0.984281407035176,0.7895406474263229,0.7053435114503817,0.911928763858098,0.708589110008152
25,ps_failure.csv,3,DT,META-DES,56.824721336364746,0.9542008222932846,0.3656205551238891,0.522633744855967,0.9466896151056404,0.5696310814969325
26,ps_failure.csv,3,DT,knorae,2.282226085662842,0.8796319780721792,0.463106315416469,0.6726190476190477,0.901333664917678,0.6772232654040127
27,ps_failure.csv,3,DT,knorau,1.85468864440918,0.9877958276229634,0.8247880507436748,0.7053571428571429,0.9233521862951556,0.7112674262192654
28,ps_failure.csv,3,DT,knop,3.881058692932129,0.9813927820922796,0.5133967261188387,0.5421940928270043,0.9531511697673202,0.5874603820210174
29,ps_failure.csv,3,DT,DESKNN,2.244972944259644,0.9516578041723772,0.6039305064286192,0.6368563685636857,0.9173282355965884,0.6509231224272999
30,ps_failure.csv,4,DT,SPE,1.128356695175171,0.98855830668494,0.8122968131195676,0.6657142857142857,0.914534383399208,0.6745963350940947
31,ps_failure.csv,4,DT,Easy100,2.718562602996826,0.9827856860057864,0.6376876348141964,0.406441717791411,0.9561948087383978,0.4840868305881241
32,ps_failure.csv,4,DT,Cascade100,1.0941948890686035,0.9852093193238922,0.7898477703369509,0.5472103004291845,0.9498931199043726,0.5900916054852818
33,ps_failure.csv,4,DT,RusBoost100,1.1349008083343506,0.9842457134155628,0.6214249000444235,0.4301439458086367,0.939833615061082,0.495383060904466
34,ps_failure.csv,4,DT,DES-P,1.881791591644287,0.96808454393178,0.759738549528951,0.7,0.9117744585787556,0.7038074461483133
35,ps_failure.csv,4,DT,META-DES,58.57883262634277,0.9441454545454546,0.3335445518533964,0.496468213925328,0.9307929490135294,0.5429515197634204
36,ps_failure.csv,4,DT,knorae,2.357490062713623,0.8820289325414954,0.4589569710194451,0.6607669616519174,0.8970932876138882,0.6658208976507838
37,ps_failure.csv,4,DT,knorau,1.8744957447052,0.9888332571950662,0.8168147162232978,0.6844444444444444,0.9113113859768543,0.6899979496617157
38,ps_failure.csv,4,DT,knop,3.810567140579224,0.9622804933759708,0.4677737996466881,0.5015045135406219,0.9382649409610148,0.5498332356037047
39,ps_failure.csv,4,DT,DESKNN,2.1330158710479736,0.936731171006548,0.5957775507244822,0.636237897648686,0.907825646082491,0.6475936975864414
40,ps_failure.csv,5,DT,SPE,1.135164737701416,0.9892158976701688,0.807638914385856,0.6500691562932227,0.9177962363594436,0.6621860603166861
41,ps_failure.csv,5,DT,Easy100,2.965028047561645,0.979182214100807,0.5473030975311453,0.4280936454849498,0.943096707353678,0.4951667934619658
42,ps_failure.csv,5,DT,Cascade100,1.0955705642700195,0.9838043551088778,0.751141730419706,0.5697940503432495,0.9403303172437004,0.6042119908164544
43,ps_failure.csv,5,DT,RusBoost100,1.171891212463379,0.9824406882899344,0.5555706583151923,0.4029244516653127,0.9268432796608796,0.4690619102622108
44,ps_failure.csv,5,DT,DES-P,1.835157871246338,0.9791414039896452,0.7270614932165741,0.6830015313935681,0.8958167164450905,0.6851702183828857
45,ps_failure.csv,5,DT,META-DES,55.03725004196167,0.9452844830211664,0.3427787567032046,0.5276595744680851,0.9362807558222914,0.569450819616661
46,ps_failure.csv,5,DT,knorae,2.403812885284424,0.9250097761534948,0.4771484495245555,0.6917293233082706,0.9096139807801767,0.6959950982885077
47,ps_failure.csv,5,DT,knorau,1.9090604782104488,0.9900876503730776,0.807136079110398,0.688622754491018,0.909521566944412,0.6932349619682783
48,ps_failure.csv,5,DT,knop,3.801396131515503,0.9752744327699104,0.4563706383792939,0.5213764337851929,0.9394975799629316,0.565797039072347
49,ps_failure.csv,5,DT,DESKNN,2.206329107284546,0.9494501598903607,0.5649611155472146,0.6336088154269972,0.9077330501812472,0.6453439909385315
50,ps_failure.csv,6,DT,SPE,1.2452738285064695,0.9893226130653264,0.813560775145715,0.6716196136701337,0.901303119000024,0.6763388690672006
51,ps_failure.csv,6,DT,Easy100,3.135087013244629,0.9842414496726052,0.5788792037087358,0.4425675675675675,0.9546865798059808,0.5111570106791109
52,ps_failure.csv,6,DT,Cascade100,1.099316120147705,0.9830220191868432,0.7503548444879293,0.5168539325842697,0.94456321386746,0.564282825519966
53,ps_failure.csv,6,DT,RusBoost100,1.260087013244629,0.9824900258870108,0.6665319566809316,0.4363636363636363,0.9369128860534433,0.4989585697204385
54,ps_failure.csv,6,DT,DES-P,1.867692470550537,0.9904364245469772,0.764517003079637,0.6993670886075949,0.8923639649929667,0.699255127504555
55,ps_failure.csv,6,DT,META-DES,56.95326733589173,0.9579985990558854,0.3311529174354423,0.5149948293691831,0.9373254916005448,0.559961477068724
