,dname,iteration,base_model,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
0,ps_failure.csv,1,DT,SPE,1.172938585281372,0.990394761687224,0.8257049669060038,0.683982683982684,0.9226953188561288,0.6925158744381013
1,ps_failure.csv,1,DT,Easy100,2.8116962909698486,0.9879945180447692,0.6194870506271594,0.4218009478672986,0.9611509014074648,0.4979940677796506
2,ps_failure.csv,1,DT,Cascade100,1.132059097290039,0.9905064717527028,0.7966872210429999,0.5327868852459017,0.9578718607407276,0.5820318750415371
3,ps_failure.csv,1,DT,RusBoost100,1.3386571407318115,0.984662707476778,0.6642943533791157,0.4262847514743049,0.9377516859252302,0.4915504253760352
4,ps_failure.csv,1,DT,DES-P,1.9548358917236328,0.9828536622506472,0.7368785002677715,0.6905829596412556,0.9114966432484908,0.6954282122908252
5,ps_failure.csv,1,DT,META-DES,41.307207107543945,0.9809644586569212,0.7928296382574254,0.6974063400576369,0.9325040584874028,0.7067319344096826
6,ps_failure.csv,1,DT,knorae,2.392167568206787,0.9387069894929192,0.613100261425148,0.6998444790046656,0.9001903255433924,0.7011869050414317
7,ps_failure.csv,1,DT,knorau,1.6815979480743408,0.9901584285061672,0.8176376395438275,0.6946107784431138,0.91352932666034,0.6994553897651852
8,ps_failure.csv,1,DT,knop,3.517505645751953,0.9536891731384194,0.5396785530018459,0.5478547854785478,0.9392005970690964,0.586439259104421
9,ps_failure.csv,1,DT,DESKNN,1.840714693069458,0.9478918227501144,0.592563466654666,0.6599713055954088,0.9086277486210644,0.6680711265746394
10,ps_failure.csv,2,DT,SPE,1.2043802738189695,0.9888042637429572,0.8049015709339188,0.6770981507823614,0.9243576329825562,0.6870535452465361
11,ps_failure.csv,2,DT,Easy100,2.6740870475769043,0.9844857012334398,0.6306440663518174,0.4018058690744921,0.9590165512366884,0.4817410252889551
12,ps_failure.csv,2,DT,Cascade100,1.1352245807647705,0.9816215623572409,0.7837306338220039,0.4660550458715596,0.9428248913221718,0.524260619964269
13,ps_failure.csv,2,DT,RusBoost100,1.1729719638824463,0.9787385411908024,0.510331537755214,0.3610518834399431,0.93236321920661,0.439040182730269
14,ps_failure.csv,2,DT,DES-P,1.681926727294922,0.9877522156235724,0.6664467316937743,0.6685714285714286,0.9165259052742756,0.6775904044846093
15,ps_failure.csv,2,DT,META-DES,42.15194654464722,0.9861963149078729,0.7409361751889576,0.6857962697274032,0.9265175222572936,0.6951106183172423
16,ps_failure.csv,2,DT,knorae,2.3019979000091557,0.9393639713720116,0.5508799124454065,0.6959152798789713,0.9097371846248132,0.6997245989719835
17,ps_failure.csv,2,DT,knorau,1.722172737121582,0.9887481041571492,0.7612233950985877,0.6762589928057554,0.9186691998905104,0.684780180578249
18,ps_failure.csv,2,DT,knop,3.666297674179077,0.9620274706867672,0.4467915420755373,0.5324947589098532,0.9472777631992336,0.5775523439948468
19,ps_failure.csv,2,DT,DESKNN,2.0978386402130127,0.9426118471143596,0.5724242346934182,0.6405594405594406,0.906065512509296,0.6507593129294815
20,ps_failure.csv,3,DT,SPE,1.1468229293823242,0.991487376275316,0.8405035134360015,0.6793557833089312,0.9130651427615368,0.6859965168340969
21,ps_failure.csv,3,DT,Easy100,2.658400058746338,0.9849220648698036,0.5781619470120841,0.4328722538649308,0.9605645261633416,0.50622696343873
22,ps_failure.csv,3,DT,Cascade100,1.1157865524291992,0.9866715395157606,0.7745422605216382,0.5252100840336135,0.9397244686885228,0.5688805665164809
23,ps_failure.csv,3,DT,RusBoost100,1.1327383518218994,0.9792688289934522,0.5813595328391573,0.3806691449814126,0.9381566509007752,0.4566126240065838
24,ps_failure.csv,3,DT,DES-P,1.834496021270752,0.9873061062890208,0.7216487335425057,0.6858789625360231,0.9246398843826048,0.6946726609773901
25,ps_failure.csv,3,DT,META-DES,61.40433168411255,0.9850053905893102,0.810399640734164,0.6886657101865137,0.928485309687814,0.6981150062886426
26,ps_failure.csv,3,DT,knorae,2.2514169216156006,0.914355291609563,0.5714735938553871,0.6957878315132605,0.8961805491480135,0.6967292996378557
27,ps_failure.csv,3,DT,knorau,1.8938546180725095,0.9911639409167048,0.8292113315741527,0.6956521739130435,0.9287057066853676,0.7041950273728494
28,ps_failure.csv,3,DT,knop,3.849335193634033,0.9684211359829448,0.5250552726932238,0.5566778900112234,0.937860542315673,0.5928904115788842
29,ps_failure.csv,3,DT,DESKNN,2.1690540313720703,0.9337387543779504,0.5683531920829868,0.6388888888888888,0.907918232540152,0.6498657922536781
30,ps_failure.csv,4,DT,SPE,1.149003028869629,0.9867072331353738,0.8297675197433663,0.6813509544787077,0.9131270475816198,0.6877483749890612
31,ps_failure.csv,4,DT,Easy100,2.6446533203125,0.9827856860057864,0.6376876348141964,0.406441717791411,0.9561948087383978,0.4840868305881241
32,ps_failure.csv,4,DT,Cascade100,1.114230394363403,0.9852093193238922,0.7898477703369509,0.5472103004291845,0.9498931199043726,0.5900916054852818
33,ps_failure.csv,4,DT,RusBoost100,1.131908893585205,0.9842457134155628,0.6214249000444235,0.4301439458086367,0.939833615061082,0.495383060904466
34,ps_failure.csv,4,DT,DES-P,1.9566802978515625,0.9830254301812092,0.7314216762841821,0.6853766617429837,0.913250844633108,0.6912907352141533
35,ps_failure.csv,4,DT,META-DES,49.36899256706238,0.9844612151667428,0.7843526104463863,0.6942392909896603,0.9192299529556476,0.7005191432314156
36,ps_failure.csv,4,DT,knorae,1.9947614669799805,0.930467732602406,0.537003781913616,0.6747352496217852,0.8955740791934987,0.67776176954572
