name,SPE,Easy,Cascade,RUSBoost,DES-P,KNORA-U,DES-KNN,KNOP,META-DES,KNORA-E,DES-KL,DES-RRC
cleveland-0_vs_4,0.7875709475709475,0.7764347961406786,0.8088888888888889,0.8201587301587302,0.7716666666666666,0.8081481481481482,0.7633333333333333,0.768047138047138,0.7785582010582011,0.7772089947089946,0.8149494949494949,0.8149494949494949
ecoli-0-3-4_vs_5,0.9588888888888889,0.9086691086691087,0.9457407407407407,0.9825,0.9808333333333333,0.9774999999999999,0.9692948717948718,0.9576851851851852,0.9808333333333333,0.9689177489177488,0.9774999999999999,0.9774999999999999
ecoli-0-6-7_vs_3-5,0.855002891844997,0.8240341412400236,0.8321425012390724,0.8589055389055389,0.862824613657947,0.8699061124061125,0.850454822954823,0.8604569504569504,0.8516539046377756,0.7797246272246272,0.8580915731218212,0.8580915731218212
glass-0-1-5_vs_2,0.42036864045635974,0.38807666237333754,0.5226154274575326,0.4409743849169136,0.4322765161490651,0.46021126295636094,0.4713467089571096,0.468502265708148,0.4721500808335796,0.41918871252204587,0.3911885365727979,0.3911885365727979
glass4,0.8488888888888888,0.8380555555555556,0.8569361606958936,0.8309071513910223,0.8901851851851851,0.8757407407407407,0.8665030146425495,0.8720370370370369,0.8806349206349205,0.8775452196382428,0.8854985754985755,0.8854985754985755
yeast-2_vs_4,0.843954893072221,0.8505120019585963,0.8604503981358874,0.8447492778216013,0.8373446346162841,0.8435529227411155,0.8294440764657657,0.8298043871524263,0.8438576562905544,0.8187090944783617,0.8545833867864087,0.8545833867864087
